epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6465,1.46368,3.03816,1.39911,1,0.14885,0.24875,0.21193,1.50341,3.08455,1.36966,0.000408497,0.000408497,0.000408497
2,20.2781,1.30102,1.91266,1.27841,0.99756,0.25,0.34117,0.26185,1.39635,2.39019,1.3556,0.00082353,0.00082353,0.00082353
3,29.6423,1.27342,1.61524,1.24726,0.5678,0.39381,0.48324,0.30733,1.44252,1.79826,1.35904,0.00123691,0.00123691,0.00123691
4,39.0205,1.27583,1.46471,1.23951,0.58949,0.57143,0.55317,0.35622,1.18301,1.40199,1.2224,0.00124257,0.00124257,0.00124257
5,48.3354,1.19353,1.28898,1.20035,0.67345,0.67049,0.62826,0.38539,1.18591,1.33439,1.18735,0.0012401,0.0012401,0.0012401
6,57.6875,1.16581,1.17331,1.17973,0.70992,0.61128,0.64334,0.36902,1.25818,1.32516,1.3202,0.00123763,0.00123763,0.00123763
7,67.0992,1.14194,1.12734,1.16966,0.68026,0.615,0.65217,0.41296,1.17365,1.06542,1.21123,0.00123515,0.00123515,0.00123515
8,76.6299,1.11852,1.05095,1.15686,0.76846,0.59636,0.68202,0.38531,1.16938,1.13873,1.16099,0.00123268,0.00123268,0.00123268
9,86.2866,1.09622,0.97213,1.13558,0.81425,0.70866,0.78094,0.45138,1.17447,0.94983,1.22692,0.0012302,0.0012302,0.0012302
10,96.035,1.07978,0.94098,1.13727,0.59314,0.68452,0.67458,0.42457,1.01975,1.25862,1.17089,0.00122773,0.00122773,0.00122773
11,105.502,1.07762,0.89551,1.13092,0.7716,0.71544,0.76855,0.51075,0.97075,0.81506,1.09834,0.00122525,0.00122525,0.00122525
12,115.253,1.07712,0.86797,1.13233,0.78676,0.78228,0.82295,0.5183,0.99694,0.78516,1.07812,0.00122277,0.00122277,0.00122277
13,125.004,1.06403,0.86514,1.12648,0.89073,0.69591,0.79364,0.50852,1.00292,0.91632,1.13078,0.0012203,0.0012203,0.0012203
14,134.513,1.03151,0.83782,1.12575,0.86651,0.58693,0.80018,0.4968,1.04778,1.05126,1.16491,0.00121783,0.00121783,0.00121783
15,144.383,1.03817,0.82023,1.11289,0.61473,0.80655,0.80781,0.55003,0.9462,0.88549,1.10759,0.00121535,0.00121535,0.00121535
16,153.985,1.01791,0.79777,1.1058,0.82849,0.71131,0.75482,0.49002,1.07014,0.80218,1.17587,0.00121287,0.00121287,0.00121287
17,163.347,1.00909,0.76288,1.09216,0.77421,0.72024,0.77968,0.501,1.14982,0.83066,1.22344,0.0012104,0.0012104,0.0012104
18,172.77,1.02873,0.77147,1.10286,0.72125,0.8103,0.81869,0.51219,1.01912,0.75175,1.14151,0.00120793,0.00120793,0.00120793
19,182.08,0.99885,0.75084,1.09775,0.63235,0.87202,0.84395,0.53832,1.02624,0.71291,1.16078,0.00120545,0.00120545,0.00120545
20,191.38,0.99792,0.73431,1.09299,0.80807,0.80493,0.86142,0.54294,0.97975,0.74378,1.09133,0.00120298,0.00120298,0.00120298
21,200.794,0.98221,0.71391,1.07211,0.81075,0.72628,0.84167,0.52945,1.01923,0.6862,1.16434,0.0012005,0.0012005,0.0012005
22,210.398,0.96114,0.71059,1.07691,0.89822,0.80655,0.8884,0.59701,0.90025,0.6509,1.08154,0.00119802,0.00119802,0.00119802
23,220.028,0.97359,0.70447,1.07561,0.68666,0.75122,0.79885,0.53042,0.90935,0.76626,1.03892,0.00119555,0.00119555,0.00119555
24,230.03,0.96872,0.68866,1.07257,0.78112,0.80378,0.87097,0.57308,0.98585,0.71271,1.10206,0.00119308,0.00119308,0.00119308
25,239.697,0.9412,0.68226,1.06881,0.78364,0.89658,0.8785,0.56701,0.98123,0.68979,1.08137,0.0011906,0.0011906,0.0011906
26,249.18,0.95412,0.67427,1.06499,0.73443,0.82616,0.79384,0.51987,0.98951,0.8336,1.14744,0.00118812,0.00118812,0.00118812
27,258.955,0.97551,0.68248,1.08178,0.83849,0.80855,0.90459,0.63908,0.94313,0.63565,1.12547,0.00118565,0.00118565,0.00118565
